iter	Passed	Remaining
0	30	30032
1	55	27559
2	73	24438
3	96	24050
4	114	22700
5	132	21876
6	148	21018
7	165	20509
8	182	20079
9	198	19640
10	217	19543
11	234	19298
12	250	19048
13	269	18996
14	285	18767
15	327	20110
16	344	19905
17	360	19678
18	379	19583
19	395	19382
20	411	19193
21	431	19175
22	450	19138
23	469	19104
24	488	19059
25	505	18920
26	524	18886
27	541	18787
28	557	18680
29	576	18631
30	592	18511
31	610	18456
32	629	18441
33	646	18370
34	665	18347
35	682	18262
36	700	18227
37	717	18171
38	733	18081
39	752	18065
40	768	17979
41	786	17933
42	805	17932
43	822	17872
44	841	17867
45	868	18009
46	889	18028
47	909	18037
48	932	18098
49	952	18092
50	973	18117
51	992	18087
52	1010	18053
53	1029	18035
54	1047	17990
55	1066	17971
56	1083	17921
57	1100	17872
58	1119	17862
59	1136	17800
60	1155	17784
61	1172	17735
62	1189	17695
63	1213	17744
64	1239	17825
65	1257	17798
66	1283	17869
67	1301	17834
68	1319	17803
69	1337	17767
70	1354	17720
71	1373	17702
72	1389	17645
73	1406	17597
74	1425	17583
75	1441	17531
76	1461	17515
77	1478	17474
78	1497	17459
79	1516	17441
80	1532	17388
81	1551	17366
82	1570	17347
83	1589	17334
84	1607	17301
85	1622	17248
86	1641	17226
87	1660	17212
88	1678	17183
89	1697	17163
90	1714	17123
91	1732	17098
92	1749	17066
93	1766	17024
94	1785	17011
95	1802	16971
96	1818	16927
97	1837	16909
98	1854	16880
99	1870	16835
100	1890	16827
101	1907	16794
102	1928	16797
103	1946	16773
104	1965	16750
105	1983	16731
106	1999	16685
107	2017	16659
108	2035	16639
109	2052	16608
110	2070	16579
111	2089	16563
112	2106	16536
113	2125	16521
114	2145	16510
115	2164	16493
116	2183	16480
117	2202	16465
118	2221	16447
119	2238	16418
120	2254	16379
121	2272	16353
122	2290	16329
123	2307	16297
124	2326	16284
125	2343	16252
126	2361	16232
127	2378	16202
128	2394	16168
129	2414	16155
130	2431	16129
131	2447	16094
132	2465	16070
133	2482	16040
134	2499	16012
135	2517	15992
136	2534	15963
137	2551	15939
138	2571	15927
139	2587	15893
140	2606	15879
141	2623	15852
142	2639	15817
143	2658	15801
144	2674	15768
145	2691	15742
146	2710	15730
147	2728	15705
148	2744	15675
149	2762	15654
150	2778	15623
151	2795	15596
152	2813	15576
153	2829	15541
154	2844	15508
155	2862	15489
156	2882	15474
157	2898	15444
158	2916	15425
159	2934	15406
160	2954	15395
161	2972	15374
162	2989	15351
163	3009	15341
164	3027	15318
165	3045	15300
166	3062	15276
167	3079	15248
168	3097	15233
169	3114	15204
170	3132	15187
171	3149	15159
172	3165	15131
173	3183	15110
174	3199	15084
175	3216	15061
176	3235	15041
177	3252	15021
178	3270	15000
179	3287	14977
180	3304	14950
181	3322	14933
182	3339	14908
183	3356	14887
184	3375	14869
185	3391	14843
186	3410	14826
187	3426	14800
188	3443	14775
189	3461	14758
190	3478	14732
191	3494	14707
192	3512	14689
193	3530	14667
