Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_BTC
2023-01-12 23:00:00,Bitfinex,BTC/USD,18913.0,18916.0,18856.0,18856.0,2015119.86846952,106.86889417
2023-01-12 22:00:00,Bitfinex,BTC/USD,18834.0,18934.0,18785.0,18917.0,1909037.14920421,100.91648513
2023-01-12 21:00:00,Bitfinex,BTC/USD,19064.0,19112.0,18775.0,18835.0,5595288.151769751,297.06865685
2023-01-12 20:00:00,Bitfinex,BTC/USD,18889.0,19089.0,18828.0,19065.0,1969036.2923430002,103.2801622
2023-01-12 19:00:00,Bitfinex,BTC/USD,18803.0,19046.0,18771.0,18887.0,5353192.10377457,283.43263111
2023-01-12 18:00:00,Bitfinex,BTC/USD,18838.0,18981.0,18624.0,18807.0,8104652.759059381,430.93809534
2023-01-12 17:00:00,Bitfinex,BTC/USD,18130.0,18884.0,18112.0,18843.0,10958777.80646022,581.5834955400001
2023-01-12 16:00:00,Bitfinex,BTC/USD,18090.0,18135.0,18055.0,18130.0,416899.70516669995,22.99501959
2023-01-12 15:00:00,Bitfinex,BTC/USD,17991.0,18138.0,17988.0,18091.0,3169383.62164083,175.19117913
2023-01-12 14:00:00,Bitfinex,BTC/USD,18291.0,18354.0,17930.0,17994.0,9394651.69069818,522.09912697
2023-01-12 13:00:00,Bitfinex,BTC/USD,18265.0,18375.0,17866.0,18296.0,15133789.176987119,827.16381597
2023-01-12 12:00:00,Bitfinex,BTC/USD,18202.0,18268.0,18175.0,18264.0,3008779.7682112805,164.73827027000002
2023-01-12 11:00:00,Bitfinex,BTC/USD,18188.0,18219.0,18166.0,18203.0,1187480.4978863301,65.23542811
2023-01-12 10:00:00,Bitfinex,BTC/USD,18164.0,18209.0,18146.0,18188.0,915245.15049388,50.32137401
2023-01-12 09:00:00,Bitfinex,BTC/USD,18144.0,18171.0,18128.0,18165.0,1883141.0514094501,103.66865133
2023-01-12 08:00:00,Bitfinex,BTC/USD,18137.0,18144.0,18062.0,18142.0,8130762.68563352,448.17344756
2023-01-12 07:00:00,Bitfinex,BTC/USD,18153.0,18178.0,18122.0,18138.0,729235.56331446,40.20484967
2023-01-12 06:00:00,Bitfinex,BTC/USD,18085.0,18162.0,18085.0,18153.0,1405837.16616015,77.44379255
2023-01-12 05:00:00,Bitfinex,BTC/USD,18217.0,18234.0,18064.0,18085.0,1727608.91303485,95.52717241
2023-01-12 04:00:00,Bitfinex,BTC/USD,18226.0,18230.0,18201.0,18218.0,338279.27097186004,18.56840877
2023-01-12 03:00:00,Bitfinex,BTC/USD,18205.0,18244.0,18202.0,18226.0,586230.27159294,32.16450519
2023-01-12 02:00:00,Bitfinex,BTC/USD,18225.0,18380.0,18183.0,18208.0,2298480.2031264,126.2346333
2023-01-12 01:00:00,Bitfinex,BTC/USD,18270.0,18288.0,18145.0,18233.0,2588794.3431087,141.9840039
2023-01-12 00:00:00,Bitfinex,BTC/USD,17953.0,18298.0,17918.0,18257.0,9233138.02173573,505.73139189
2023-01-11 23:00:00,Bitfinex,BTC/USD,17579.0,18009.0,17572.0,17952.0,8453169.224111041,470.87618227
2023-01-11 22:00:00,Bitfinex,BTC/USD,17567.0,17610.0,17530.0,17579.0,5796228.87436355,329.72460745
2023-01-11 21:00:00,Bitfinex,BTC/USD,17550.0,17575.0,17533.0,17568.0,1394211.6269539201,79.36086219
2023-01-11 20:00:00,Bitfinex,BTC/USD,17547.0,17600.0,17510.0,17553.0,2695690.90993986,153.57436962
2023-01-11 19:00:00,Bitfinex,BTC/USD,17482.0,17552.0,17480.0,17546.0,1641635.40403554,93.56180349
