Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_SOL
2022-12-25 15:00:00,Bitfinex,SOL/USD,11.394,11.44,11.347,11.359,11773.98884123933,1036.53392387
2022-12-25 14:00:00,Bitfinex,SOL/USD,11.361,11.393,11.248,11.386,17082.38382378532,1500.29719162
2022-12-25 13:00:00,Bitfinex,SOL/USD,11.401,11.415,11.339,11.349,3314.1566876862603,292.02191274
2022-12-25 12:00:00,Bitfinex,SOL/USD,11.401,11.401,11.367,11.388,3560.240984376961,312.63092592000004
2022-12-25 11:00:00,Bitfinex,SOL/USD,11.406,11.412,11.378,11.412,257.16185247456,22.53433688
2022-12-25 10:00:00,Bitfinex,SOL/USD,11.466,11.475,11.391,11.391,11428.96675341312,1003.33304832
2022-12-25 09:00:00,Bitfinex,SOL/USD,11.471,11.491,11.453,11.474,1200.5088192693402,104.62862291
2022-12-25 08:00:00,Bitfinex,SOL/USD,11.494,11.523,11.444,11.454,41289.52388291911,3604.81263165
2022-12-25 07:00:00,Bitfinex,SOL/USD,11.524,11.528,11.477,11.502,34689.85878068514,3015.98494007
2022-12-25 06:00:00,Bitfinex,SOL/USD,11.471,11.559,11.471,11.528,41077.75171017056,3563.30254252
2022-12-25 05:00:00,Bitfinex,SOL/USD,11.458,11.46,11.423,11.46,4288.494113503801,374.21414603
2022-12-25 04:00:00,Bitfinex,SOL/USD,11.488,11.509,11.449,11.464,2356.8037503365604,205.58302079
2022-12-25 03:00:00,Bitfinex,SOL/USD,11.445,11.493,11.445,11.473,2517.56109287683,219.43354771
2022-12-25 02:00:00,Bitfinex,SOL/USD,11.46,11.465,11.431,11.433,5642.8878509127,493.5614319
2022-12-25 01:00:00,Bitfinex,SOL/USD,11.496,11.516,11.441,11.445,5684.07628302045,496.64275081
2022-12-25 00:00:00,Bitfinex,SOL/USD,11.456,11.51,11.437,11.479,40282.920844649205,3509.27091599
2022-12-24 23:00:00,Bitfinex,SOL/USD,11.44,11.471,11.42,11.456,6566.72484310656,573.21271326
2022-12-24 22:00:00,Bitfinex,SOL/USD,11.392,11.44,11.392,11.433,4552.58429313654,398.19682438
2022-12-24 21:00:00,Bitfinex,SOL/USD,11.493,11.501,11.364,11.39,11268.060967386202,989.29420258
2022-12-24 20:00:00,Bitfinex,SOL/USD,11.576,11.617,11.474,11.484,56796.9771658608,4945.7486212
2022-12-24 19:00:00,Bitfinex,SOL/USD,11.505,11.576,11.488,11.575,17875.837950787998,1544.34885104
2022-12-24 18:00:00,Bitfinex,SOL/USD,11.467,11.576,11.451,11.488,83302.14963771775,7251.23168852
2022-12-24 17:00:00,Bitfinex,SOL/USD,11.442,11.466,11.405,11.456,4306.15508619648,375.88644258
2022-12-24 16:00:00,Bitfinex,SOL/USD,11.384,11.452,11.347,11.452,57127.6264860294,4988.44101345
2022-12-24 15:00:00,Bitfinex,SOL/USD,11.377,11.408,11.376,11.393,10970.74426379076,962.93726532
2022-12-24 14:00:00,Bitfinex,SOL/USD,11.352,11.4,11.345,11.393,6436.4764528424,564.9500968
