Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_LTC
2022-12-26 07:00:00,Bitfinex,LTC/USD,69.024,69.216,68.9,68.95,15076.6651269185,218.66084303
2022-12-26 06:00:00,Bitfinex,LTC/USD,69.23,69.57,69.018,69.02,15247.8018244552,220.91860076
2022-12-26 05:00:00,Bitfinex,LTC/USD,69.006,69.279,68.896,69.147,12679.288053451111,183.36714613
2022-12-26 04:00:00,Bitfinex,LTC/USD,69.201,69.395,68.867,69.005,8986.5107054032,130.22984864
2022-12-26 03:00:00,Bitfinex,LTC/USD,69.439,69.464,69.095,69.186,6822.093927796681,98.60512138
2022-12-26 02:00:00,Bitfinex,LTC/USD,68.852,69.461,68.852,69.443,13543.72226596719,195.03365733
2022-12-26 01:00:00,Bitfinex,LTC/USD,68.885,68.928,68.658,68.86,20851.3749374634,302.80823319
2022-12-26 00:00:00,Bitfinex,LTC/USD,69.199,69.219,68.721,68.8,61267.318550176,890.51335102
2022-12-25 23:00:00,Bitfinex,LTC/USD,68.747,69.778,68.609,69.241,160297.51532703335,2315.06643935
2022-12-25 22:00:00,Bitfinex,LTC/USD,68.043,69.314,67.915,68.771,168484.33350042484,2449.93287142
2022-12-25 21:00:00,Bitfinex,LTC/USD,67.186,68.565,67.103,68.124,46184.64312152039,677.9496670999999
2022-12-25 20:00:00,Bitfinex,LTC/USD,67.428,67.512,66.964,67.169,15215.25465564906,226.52197674
2022-12-25 19:00:00,Bitfinex,LTC/USD,66.276,67.517,66.123,67.477,76735.44194594736,1137.20885555
2022-12-25 18:00:00,Bitfinex,LTC/USD,66.371,66.443,66.277,66.29,5295.721675284601,79.88718774
2022-12-25 17:00:00,Bitfinex,LTC/USD,66.299,66.425,66.262,66.346,8368.4878766888,126.1340228
2022-12-25 16:00:00,Bitfinex,LTC/USD,65.96,66.289,65.814,66.259,11013.85892306148,166.22434572
2022-12-25 15:00:00,Bitfinex,LTC/USD,66.192,66.547,65.945,66.01,11236.9741879003,170.23139203
2022-12-25 14:00:00,Bitfinex,LTC/USD,65.898,66.287,65.386,66.247,44746.140456669,675.444027
