iter	Passed	Remaining
0	64	64237
1	86	42969
2	105	35020
3	125	31145
4	143	28584
5	160	26553
6	178	25286
7	194	24127
8	210	23196
9	228	22607
10	245	22080
11	263	21727
12	282	21444
13	299	21100
14	316	20757
15	334	20581
16	351	20300
17	368	20111
18	386	19952
19	402	19729
20	419	19563
21	437	19440
22	456	19395
23	473	19247
24	489	19109
25	509	19075
26	531	19158
27	552	19175
28	569	19077
29	588	19022
30	606	18972
31	624	18884
32	642	18835
33	659	18732
34	676	18648
35	694	18608
36	711	18528
37	728	18444
38	745	18365
39	762	18302
40	779	18232
41	796	18169
42	813	18115
43	831	18072
44	848	18000
45	865	17947
46	881	17883
47	898	17823
48	917	17804
49	933	17744
50	950	17695
51	968	17651
52	984	17598
53	1001	17539
54	1018	17499
55	1034	17444
56	1051	17398
57	1070	17386
58	1086	17334
59	1104	17303
60	1122	17277
61	1138	17229
62	1154	17177
63	1172	17151
64	1189	17113
65	1206	17069
66	1224	17049
67	1241	17016
68	1258	16985
69	1274	16938
70	1291	16894
71	1309	16872
72	1344	17067
73	1372	17175
74	1391	17167
75	1409	17133
76	1426	17095
77	1444	17075
78	1461	17042
79	1480	17026
80	1497	16986
81	1513	16940
82	1530	16911
83	1547	16878
84	1564	16842
85	1583	16830
86	1602	16820
87	1621	16801
88	1639	16784
89	1658	16769
90	1677	16756
91	1694	16727
92	1713	16707
93	1730	16677
94	1750	16673
95	1768	16651
96	1784	16608
97	1802	16589
98	1819	16558
99	1836	16524
100	1853	16500
101	1870	16466
102	1886	16428
103	1906	16425
104	1922	16388
105	1939	16356
106	1956	16330
107	1974	16304
108	1990	16272
109	2008	16252
110	2024	16217
111	2041	16182
112	2058	16158
113	2075	16132
114	2092	16099
115	2109	16077
116	2126	16051
117	2144	16025
118	2163	16016
119	2179	15985
120	2197	15966
121	2214	15940
122	2231	15910
123	2250	15897
124	2265	15861
125	2282	15829
126	2299	15807
127	2316	15780
128	2333	15752
129	2351	15734
130	2367	15704
131	2383	15674
132	2400	15651
133	2417	15621
134	2433	15589
135	2449	15563
136	2465	15529
137	2481	15501
138	2500	15487
139	2517	15467
140	2534	15440
141	2552	15423
142	2569	15399
143	2587	15382
144	2605	15361
145	2620	15328
146	2638	15312
147	2656	15295
148	2673	15269
149	2691	15253
150	2707	15225
151	2725	15206
152	2742	15181
153	2758	15156
154	2776	15138
155	2792	15109
156	2808	15082
157	2826	15060
158	2842	15034
159	2860	15019
160	2878	15000
161	2894	14971
162	2912	14957
163	2928	14929
164	2945	14906
165	2962	14885
166	2979	14860
167	2995	14836
168	3014	14821
169	3030	14797
170	3047	14771
171	3065	14755
172	3081	14728
173	3097	14705
174	3115	14685
175	3131	14660
176	3147	14634
177	3165	14620
178	3183	14601
179	3201	14582
180	3218	14562
181	3234	14538
182	3252	14521
183	3269	14499
184	3286	14478
185	3304	14460
186	3320	14437
187	3337	14414
188	3355	14399
189	3372	14375
190	3388	14352
191	3406	14334
192	3422	14312
193	3439	14290
194	3457	14273
195	3474	14250
196	3490	14225
197	3508	14211
198	3525	14190
199	3541	14167
200	3560	14151
201	3575	14125
202	3592	14103
203	3609	14085
204	3628	14073
205	3645	14052
206	3663	14034
207	3679	14010
208	3697	13994
209	3714	13973
210	3731	13951
211	3749	13936
212	3765	13913
213	3783	13895
214	3800	13876
215	3817	13854
216	3835	13838
217	3851	13817
218	3868	13797
219	3886	13780
220	3904	13762
221	3923	13749
222	3939	13727
223	3956	13704
224	3974	13689
225	3990	13665
226	4005	13641
227	4023	13623
228	4039	13600
229	4056	13580
230	4073	13562
231	4091	13544
232	4107	13520
233	4126	13507
234	4143	13488
235	4159	13465
236	4176	13446
237	4194	13428
238	4211	13408
239	4229	13394
240	4247	13376
241	4264	13358
242	4281	13337
243	4298	13318
244	4316	13302
245	4332	13279
246	4349	13259
247	4366	13239
248	4382	13217
249	4398	13196
250	4417	13181
251	4433	13160
252	4449	13138
253	4467	13121
254	4484	13102
255	4501	13081
256	4519	13066
257	4536	13045
258	4552	13025
259	4569	13005
260	4586	12986
261	4604	12971
262	4621	12950
263	4638	12931
264	4656	12914
265	4672	12893
266	4689	12873
267	4708	12860
268	4724	12839
269	4742	12822
270	4761	12808
271	4777	12786
272	4794	12766
273	4811	12749
274	4828	12730
275	4845	12711
276	4862	12692
277	4879	12672
278	4897	12655
279	4914	12636
280	4930	12615
281	4948	12598
282	4965	12581
283	4984	12565
284	5004	12554
285	5022	12537
286	5040	12523
287	5058	12504
288	5076	12489
289	5095	12474
290	5111	12454
291	5129	12436
292	5145	12414
293	5161	12393
294	5179	12378
295	5196	12358
296	5213	12339
297	5231	12323
298	5248	12304
299	5265	12286
300	5282	12268
301	5298	12246
302	5317	12231
303	5334	12212
304	5350	12192
305	5368	12175
306	5384	12155
307	5402	12137
308	5420	12121
309	5438	12103
310	5455	12086
311	5475	12075
312	5494	12059
313	5512	12043
314	5529	12023
315	5546	12005
316	5566	11993
317	5589	11987
318	5609	11975
319	5628	11960
320	5647	11946
321	5666	11930
322	5685	11917
323	5702	11897
324	5719	11878
325	5738	11863
326	5755	11844
327	5774	11830
328	5791	11812
329	5808	11792
330	5825	11774
331	5842	11754
332	5858	11733
333	5875	11716
334	5892	11696
335	5908	11676
336	5925	11656
337	5942	11638
338	5959	11619
339	5976	11601
340	5993	11582
341	6010	11563
342	6029	11548
343	6045	11527
344	6063	11512
345	6082	11497
346	6102	11484
347	6121	11468
348	6138	11449
349	6156	11433
350	6172	11413
351	6189	11393
352	6206	11375
353	6222	11356
354	6239	11335
355	6257	11318
356	6273	11299
357	6290	11280
358	6308	11263
359	6325	11246
360	6344	11230
361	6362	11213
362	6378	11193
363	6396	11176
364	6413	11158
365	6430	11139
366	6448	11122
367	6464	11102
368	6482	11084
369	6499	11066
370	6516	11047
371	6534	11030
372	6549	11010
373	6567	10992
374	6584	10973
375	6601	10955
376	6617	10936
377	6636	10920
378	6653	10901
379	6670	10883
380	6690	10869
381	6706	10849
382	6721	10828
383	6740	10812
384	6756	10793
385	6774	10775
386	6791	10758
387	6808	10739
388	6826	10722
389	6842	10703
390	6861	10686
391	6879	10670
392	6895	10651
393	6912	10632
394	6930	10614
395	6946	10595
396	6965	10579
397	6981	10560
398	6998	10541
399	7016	10525
400	7033	10505
401	7048	10485
402	7066	10468
403	7083	10449
404	7100	10431
405	7117	10413
406	7134	10394
407	7151	10376
408	7168	10358
409	7186	10340
410	7202	10321
411	7220	10304
412	7235	10284
413	7252	10264
414	7269	10247
415	7285	10227
416	7303	10210
417	7319	10191
418	7336	10172
419	7354	10156
420	7372	10139
421	7389	10120
422	7407	10104
423	7424	10085
424	7440	10066
425	7458	10049
426	7474	10030
427	7490	10011
428	7507	9992
429	7523	9972
430	7539	9953
431	7557	9937
432	7573	9917
433	7589	9898
434	7607	9881
435	7624	9862
436	7641	9844
437	7659	9827
438	7674	9807
439	7691	9789
440	7709	9771
441	7726	9754
442	7745	9738
443	7766	9725
444	7783	9707
445	7803	9693
446	7822	9677
447	7840	9660
448	7860	9645
449	7877	9627
450	7897	9614
451	7916	9598
452	7934	9581
453	7953	9564
454	7971	9548
455	7990	9532
456	8007	9514
457	8025	9497
458	8041	9477
459	8057	9458
460	8075	9441
461	8092	9423
462	8108	9404
463	8127	9388
464	8144	9370
465	8161	9352
466	8179	9335
467	8195	9316
468	8211	9297
469	8229	9279
470	8246	9261
471	8262	9243
472	8280	9226
473	8297	9207
474	8315	9190
475	8333	9173
476	8349	9155
477	8366	9136
478	8382	9117
479	8400	9100
480	8417	9082
481	8435	9065
482	8453	9048
483	8470	9030
484	8488	9013
485	8505	8995
486	8523	8978
487	8541	8962
488	8558	8943
489	8576	8926
490	8594	8909
491	8612	8892
492	8630	8875
493	8646	8856
494	8663	8838
495	8680	8820
496	8697	8802
497	8715	8785
498	8731	8766
499	8748	8748
500	8767	8732
501	8783	8713
502	8799	8694
503	8817	8677
504	8834	8659
505	8850	8640
506	8868	8623
507	8885	8605
508	8901	8586
509	8919	8569
510	8935	8550
511	8951	8532
512	8970	8516
513	8988	8498
514	9005	8480
515	9023	8463
516	9040	8446
517	9058	8429
518	9076	8411
519	9092	8392
520	9110	8376
521	9126	8357
522	9144	8339
523	9162	8322
524	9178	8304
525	9195	8286
526	9212	8268
527	9229	8250
528	9248	8234
529	9265	8216
530	9284	8200
531	9302	8183
532	9319	8165
533	9336	8147
534	9353	8129
535	9370	8111
536	9386	8092
537	9404	8076
538	9421	8058
539	9438	8039
540	9456	8023
541	9473	8004
542	9489	7986
543	9507	7969
544	9523	7951
545	9541	7933
546	9559	7916
547	9575	7898
548	9592	7880
549	9610	7862
550	9625	7844
551	9641	7825
552	9661	7809
553	9678	7792
554	9696	7774
555	9716	7759
556	9733	7741
557	9751	7724
558	9767	7705
559	9783	7686
560	9801	7670
561	9817	7651
562	9833	7632
563	9851	7615
564	9867	7597
565	9884	7578
566	9903	7562
567	9919	7544
568	9935	7525
569	9956	7510
570	9976	7495
571	9996	7480
572	10015	7463
573	10032	7445
574	10054	7431
575	10071	7413
576	10090	7397
577	10106	7378
578	10123	7360
579	10142	7344
580	10158	7326
581	10174	7307
582	10193	7291
583	10212	7274
584	10228	7256
585	10247	7239
586	10265	7222
587	10283	7205
588	10301	7188
589	10317	7169
590	10335	7152
591	10352	7134
592	10368	7116
593	10386	7099
594	10403	7081
595	10420	7063
596	10437	7046
597	10455	7028
598	10475	7012
599	10493	6995
600	10509	6977
601	10528	6960
602	10548	6945
603	10570	6930
604	10588	6913
605	10607	6896
606	10626	6879
607	10644	6863
608	10664	6847
609	10680	6828
610	10698	6811
611	10717	6794
612	10733	6776
613	10750	6758
614	10767	6740
615	10783	6722
616	10801	6705
617	10818	6687
618	10835	6669
619	10853	6652
620	10870	6634
621	10888	6617
622	10905	6599
623	10922	6581
624	10940	6564
625	10957	6546
626	10974	6528
627	10993	6511
628	11009	6493
629	11026	6475
630	11045	6459
631	11062	6441
632	11079	6423
633	11099	6407
634	11116	6389
635	11133	6372
636	11153	6355
637	11169	6337
638	11188	6320
639	11204	6302
640	11220	6284
641	11240	6267
642	11256	6249
643	11274	6232
644	11294	6216
645	11311	6198
646	11330	6181
647	11346	6163
648	11362	6145
649	11382	6128
650	11398	6110
651	11415	6092
652	11434	6076
653	11450	6057
654	11466	6039
655	11485	6022
656	11501	6004
657	11517	5986
658	11535	5969
659	11554	5952
660	11571	5934
661	11590	5917
662	11606	5899
663	11624	5882
664	11642	5864
665	11661	5848
666	11679	5831
667	11696	5813
668	11715	5796
669	11734	5779
670	11750	5761
671	11769	5744
672	11785	5726
673	11805	5709
674	11821	5691
675	11838	5674
676	11858	5657
677	11876	5640
678	11893	5622
679	11912	5605
680	11929	5587
681	11947	5570
682	11963	5552
683	11981	5535
684	12001	5518
685	12018	5501
686	12035	5483
687	12052	5465
688	12070	5448
689	12089	5431
690	12108	5414
691	12127	5397
692	12143	5379
693	12160	5361
694	12178	5344
695	12196	5327
696	12213	5309
697	12232	5292
698	12248	5274
699	12266	5256
700	12282	5238
701	12299	5221
702	12318	5204
703	12335	5186
704	12351	5168
705	12369	5151
706	12385	5132
707	12402	5115
708	12420	5097
709	12436	5079
710	12452	5061
711	12469	5044
712	12486	5026
713	12502	5008
714	12521	4990
715	12537	4973
716	12554	4955
717	12573	4938
718	12590	4920
719	12607	4902
720	12626	4885
721	12643	4868
722	12661	4851
723	12679	4833
724	12696	4815
725	12714	4798
726	12730	4780
727	12748	4763
728	12767	4746
729	12784	4728
730	12803	4711
731	12820	4693
732	12836	4675
733	12856	4659
734	12872	4641
735	12888	4623
736	12907	4606
737	12924	4588
738	12941	4570
739	12959	4553
740	12975	4535
741	12994	4518
742	13011	4500
743	13028	4482
744	13046	4465
745	13062	4447
746	13079	4429
747	13096	4412
748	13113	4394
749	13129	4376
750	13148	4359
751	13164	4341
752	13181	4323
753	13199	4306
754	13215	4288
755	13232	4270
756	13249	4253
757	13266	4235
758	13283	4217
759	13302	4200
760	13318	4182
761	13334	4164
762	13352	4147
763	13368	4129
764	13385	4111
765	13404	4094
766	13421	4077
767	13438	4059
768	13457	4042
769	13473	4024
770	13493	4007
771	13509	3989
772	13526	3972
773	13545	3955
774	13562	3937
775	13582	3920
776	13598	3902
777	13615	3885
778	13633	3867
779	13651	3850
780	13668	3832
781	13687	3815
782	13704	3797
783	13723	3781
784	13739	3763
785	13756	3745
786	13774	3727
787	13790	3710
788	13807	3692
789	13826	3675
790	13842	3657
791	13859	3639
792	13876	3622
793	13893	3604
794	13910	3586
795	13927	3569
796	13944	3551
797	13962	3534
798	13979	3516
799	13998	3499
800	14016	3482
801	14032	3464
802	14050	3447
803	14067	3429
804	14085	3411
805	14104	3394
806	14119	3376
807	14137	3359
808	14155	3342
809	14171	3324
810	14189	3306
811	14207	3289
812	14223	3271
813	14242	3254
814	14259	3236
815	14276	3219
816	14294	3201
817	14310	3184
818	14327	3166
819	14346	3149
820	14363	3131
821	14379	3113
822	14396	3096
823	14413	3078
824	14430	3060
825	14447	3043
826	14464	3025
827	14482	3008
828	14499	2990
829	14516	2973
830	14534	2955
831	14550	2938
832	14566	2920
833	14585	2903
834	14601	2885
835	14618	2867
836	14637	2850
837	14653	2832
838	14670	2815
839	14688	2797
840	14705	2780
841	14722	2762
842	14740	2745
843	14756	2727
844	14773	2709
845	14791	2692
846	14808	2674
847	14826	2657
848	14842	2639
849	14859	2622
850	14875	2604
851	14892	2586
852	14910	2569
853	14929	2552
854	14947	2534
855	14967	2517
856	14985	2500
857	15007	2483
858	15026	2466
859	15043	2448
860	15063	2431
861	15079	2414
862	15097	2396
863	15116	2379
864	15132	2361
865	15150	2344
866	15167	2326
867	15185	2309
868	15202	2291
869	15218	2274
870	15235	2256
871	15252	2238
872	15268	2221
873	15286	2203
874	15303	2186
875	15320	2168
876	15339	2151
877	15356	2133
878	15372	2116
879	15391	2098
880	15407	2081
881	15425	2063
882	15443	2046
883	15460	2028
884	15478	2011
885	15496	1993
886	15520	1977
887	15539	1959
888	15558	1942
889	15577	1925
890	15595	1907
891	15621	1891
892	15653	1875
893	15672	1858
894	15690	1840
895	15707	1823
896	15726	1805
897	15742	1788
898	15760	1770
899	15778	1753
900	15794	1735
901	15813	1718
902	15831	1700
903	15849	1683
904	15868	1665
905	15885	1648
906	15902	1630
907	15920	1613
908	15937	1595
909	15955	1578
910	15972	1560
911	15990	1542
912	16007	1525
913	16023	1507
914	16042	1490
915	16058	1472
916	16075	1455
917	16094	1437
918	16112	1420
919	16129	1402
920	16146	1385
921	16163	1367
922	16181	1349
923	16199	1332
924	16215	1314
925	16234	1297
926	16252	1279
927	16270	1262
928	16290	1244
929	16307	1227
930	16328	1210
931	16346	1192
932	16363	1175
933	16381	1157
934	16399	1140
935	16417	1122
936	16434	1104
937	16451	1087
938	16470	1069
939	16486	1052
940	16505	1034
941	16521	1017
942	16537	999
943	16555	982
944	16571	964
945	16587	946
946	16605	929
947	16622	911
948	16638	894
949	16658	876
950	16674	859
951	16690	841
952	16708	824
953	16726	806
954	16742	788
955	16760	771
956	16777	753
957	16794	736
958	16811	718
959	16827	701
960	16846	683
961	16864	666
962	16881	648
963	16899	631
964	16916	613
965	16934	596
966	16951	578
967	16968	560
968	16987	543
969	17003	525
970	17020	508
971	17039	490
972	17056	473
973	17072	455
974	17089	438
975	17106	420
976	17123	403
977	17141	385
978	17158	368
979	17174	350
980	17193	333
981	17211	315
982	17227	297
983	17245	280
984	17261	262
985	17278	245
986	17296	227
987	17313	210
988	17330	192
989	17348	175
990	17364	157
991	17384	140
992	17402	122
993	17419	105
994	17437	87
995	17454	70
996	17473	52
997	17490	35
998	17507	17
999	17526	0
