Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ADA
2022-12-27 00:00:00,Bitfinex,ADA/USD,0.26567,0.26662,0.26372,0.26444,392931.914343486,1485901.96015537
2022-12-26 23:00:00,Bitfinex,ADA/USD,0.26343,0.26599,0.26343,0.2656,145924.0034411429,549412.66355852
2022-12-26 22:00:00,Bitfinex,ADA/USD,0.26289,0.26431,0.26289,0.26344,50884.75576553415,193155.00973859
2022-12-26 21:00:00,Bitfinex,ADA/USD,0.26326,0.26532,0.26287,0.26298,324952.61595356255,1235655.24356819
2022-12-26 20:00:00,Bitfinex,ADA/USD,0.26298,0.2635,0.26254,0.26341,145289.01932527157,551569.86950105
2022-12-26 19:00:00,Bitfinex,ADA/USD,0.26202,0.26411,0.26202,0.26298,268635.03935639025,1021503.68604605
2022-12-26 18:00:00,Bitfinex,ADA/USD,0.2618,0.26252,0.26157,0.26214,155368.80791444652,592694.01050754
2022-12-26 17:00:00,Bitfinex,ADA/USD,0.26141,0.26213,0.2611,0.26178,69131.25192868712,264081.48800018
2022-12-26 16:00:00,Bitfinex,ADA/USD,0.26148,0.26219,0.26107,0.26143,94160.73467159232,360175.70543393
2022-12-26 15:00:00,Bitfinex,ADA/USD,0.26223,0.26233,0.26112,0.26154,147524.78418106702,564062.03326859
2022-12-26 14:00:00,Bitfinex,ADA/USD,0.26202,0.26351,0.26155,0.2622,149800.9910296584,571323.38302692
2022-12-26 13:00:00,Bitfinex,ADA/USD,0.26197,0.26266,0.26129,0.26202,96878.65192922644,369737.6228121
2022-12-26 12:00:00,Bitfinex,ADA/USD,0.26101,0.26253,0.261,0.26178,192921.39448385115,736960.02171232
2022-12-26 11:00:00,Bitfinex,ADA/USD,0.26049,0.26154,0.26049,0.26094,73962.38985983066,283445.96405239
2022-12-26 10:00:00,Bitfinex,ADA/USD,0.25985,0.26148,0.25985,0.2606,128421.23615345854,492790.62223123
2022-12-26 09:00:00,Bitfinex,ADA/USD,0.25956,0.26048,0.25908,0.25986,128320.20151160585,493805.13165399
