Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_DOGE
2022-04-25 00:00:00,Bitfinex,DOG/USD,134080.0,134080.0,125070.0,125140.0,303.68099220000005,0.00242673
2022-04-24 23:00:00,Bitfinex,DOG/USD,134640.0,134690.0,130800.0,132970.0,106.9690462,0.00080446
2022-04-24 22:00:00,Bitfinex,DOG/USD,133300.0,134850.0,130750.0,133240.0,97.0706696,0.00072854
2022-04-24 21:00:00,Bitfinex,DOG/USD,132910.0,134630.0,129390.0,134630.0,114.1325825,0.00084775
2022-04-24 20:00:00,Bitfinex,DOG/USD,132130.0,133130.0,129950.0,132920.0,55.1764212,0.00041511
2022-04-24 19:00:00,Bitfinex,DOG/USD,132320.0,132320.0,129540.0,132140.0,121.6956544,0.00092096
2022-04-24 18:00:00,Bitfinex,DOG/USD,132430.0,132430.0,129460.0,132330.0,74.2980018,0.00056146
2022-04-24 17:00:00,Bitfinex,DOG/USD,131560.0,133980.0,128430.0,129170.0,106.6375852,0.00082556
2022-04-24 16:00:00,Bitfinex,DOG/USD,134140.0,135620.0,131470.0,131560.0,194.2536024,0.00147654
2022-04-24 15:00:00,Bitfinex,DOG/USD,134380.0,135640.0,130350.0,131460.0,110.4093102,0.00083987
2022-04-24 14:00:00,Bitfinex,DOG/USD,133600.0,134990.0,131690.0,134350.0,102.8838865,0.00076579
2022-04-24 13:00:00,Bitfinex,DOG/USD,134100.0,135140.0,131620.0,133540.0,109.5388558,0.00082027
2022-04-24 12:00:00,Bitfinex,DOG/USD,133920.0,135060.0,131300.0,134110.0,118.2608802,0.00088182
2022-04-24 11:00:00,Bitfinex,DOG/USD,133180.0,136740.0,129580.0,135610.0,242.0462207,0.00178487
2022-04-24 10:00:00,Bitfinex,DOG/USD,133070.0,136970.0,132750.0,132950.0,106.009012,0.00079736
2022-04-24 09:00:00,Bitfinex,DOG/USD,135380.0,136860.0,132770.0,135340.0,122.4935272,0.00090508
2022-04-24 08:00:00,Bitfinex,DOG/USD,135430.0,136870.0,133410.0,133470.0,110.1728115,0.00082545
2022-04-24 07:00:00,Bitfinex,DOG/USD,135520.0,135520.0,133370.0,135430.0,121.6852093,0.00089851
2022-04-24 06:00:00,Bitfinex,DOG/USD,132750.0,135750.0,132750.0,135350.0,122.261655,0.0009033
2022-04-24 05:00:00,Bitfinex,DOG/USD,135350.0,136660.0,132750.0,135180.0,109.083501,0.00080695
2022-04-24 04:00:00,Bitfinex,DOG/USD,133270.0,136910.0,133270.0,136660.0,122.5539548,0.00089678
2022-04-24 03:00:00,Bitfinex,DOG/USD,132900.0,136960.0,132900.0,135360.0,109.2477024,0.00080709
2022-04-24 02:00:00,Bitfinex,DOG/USD,133100.0,135670.0,132760.0,134960.0,125.47906,0.00092975
2022-04-24 01:00:00,Bitfinex,DOG/USD,135380.0,135450.0,132770.0,135070.0,98.7888473,0.00073139
2022-04-24 00:00:00,Bitfinex,DOG/USD,135250.0,136110.0,132760.0,135400.0,110.361832,0.00081508
2022-04-23 23:00:00,Bitfinex,DOG/USD,136830.0,136830.0,132750.0,132750.0,160.709805,0.00121062
2022-04-23 22:00:00,Bitfinex,DOG/USD,134320.0,136840.0,134240.0,136190.0,113.9420016,0.00083664
2022-04-23 21:00:00,Bitfinex,DOG/USD,136410.0,137870.0,132760.0,136590.0,110.1133944,0.00080616
2022-04-23 20:00:00,Bitfinex,DOG/USD,136370.0,136440.0,133590.0,136430.0,119.3871644,0.00087508
2022-04-23 19:00:00,Bitfinex,DOG/USD,134890.0,137720.0,132800.0,133780.0,113.2140006,0.00084627
2022-04-23 18:00:00,Bitfinex,DOG/USD,134770.0,138070.0,134770.0,136270.0,110.0284861,0.00080743
2022-04-23 17:00:00,Bitfinex,DOG/USD,136710.0,137970.0,134640.0,136590.0,110.2773024,0.00080736
2022-04-23 16:00:00,Bitfinex,DOG/USD,136790.0,138510.0,133010.0,138460.0,122.3487944,0.00088364
2022-04-23 15:00:00,Bitfinex,DOG/USD,135770.0,138270.0,132800.0,136580.0,102.749134,0.0007523
2022-04-23 14:00:00,Bitfinex,DOG/USD,136310.0,136340.0,133000.0,135780.0,106.0550424,0.00078108
2022-04-23 13:00:00,Bitfinex,DOG/USD,136300.0,136460.0,134210.0,134300.0,113.504988,0.00084516
2022-04-23 12:00:00,Bitfinex,DOG/USD,136350.0,136470.0,134080.0,134200.0,102.311396,0.00076238
2022-04-23 11:00:00,Bitfinex,DOG/USD,136470.0,137970.0,134060.0,134110.0,109.3908448,0.00081568
2022-04-23 10:00:00,Bitfinex,DOG/USD,136130.0,137550.0,133940.0,134050.0,114.5470655,0.00085451
2022-04-23 09:00:00,Bitfinex,DOG/USD,133820.0,136750.0,133820.0,133960.0,104.917472,0.0007832
2022-04-23 08:00:00,Bitfinex,DOG/USD,135860.0,137180.0,132760.0,136110.0,114.3038169,0.00083979
2022-04-23 07:00:00,Bitfinex,DOG/USD,135000.0,137390.0,132920.0,137390.0,114.7000415,0.00083485
2022-04-23 06:00:00,Bitfinex,DOG/USD,132850.0,135170.0,132850.0,135010.0,103.5013662,0.00076662
2022-04-23 05:00:00,Bitfinex,DOG/USD,132770.0,135340.0,132770.0,135180.0,112.7522862,0.00083409
2022-04-23 04:00:00,Bitfinex,DOG/USD,132770.0,136010.0,132750.0,135300.0,131.450715,0.00097155
2022-04-23 03:00:00,Bitfinex,DOG/USD,135070.0,137500.0,132760.0,135900.0,108.637101,0.00079939
2022-04-23 02:00:00,Bitfinex,DOG/USD,136380.0,137710.0,135010.0,136000.0,63.67248,0.00046818
2022-04-23 01:00:00,Bitfinex,DOG/USD,134900.0,137840.0,134900.0,135000.0,116.75475,0.00086485
2022-04-23 00:00:00,Bitfinex,DOG/USD,137460.0,138460.0,134800.0,136570.0,102.7784849,0.00075257
2022-04-22 23:00:00,Bitfinex,DOG/USD,134590.0,138490.0,134580.0,138490.0,102.094828,0.0007372
2022-04-22 22:00:00,Bitfinex,DOG/USD,134120.0,138190.0,134110.0,134580.0,106.9265016,0.00079452
2022-04-22 21:00:00,Bitfinex,DOG/USD,137160.0,137940.0,133630.0,134110.0,117.9175586,0.00087926
2022-04-22 20:00:00,Bitfinex,DOG/USD,137600.0,137600.0,134120.0,134510.0,96.3616189,0.00071639
2022-04-22 19:00:00,Bitfinex,DOG/USD,136280.0,137510.0,132770.0,134120.0,79.4741472,0.00059256
2022-04-22 18:00:00,Bitfinex,DOG/USD,133530.0,136580.0,133530.0,136290.0,91.6632024,0.00067256
2022-04-22 17:00:00,Bitfinex,DOG/USD,133390.0,137360.0,132760.0,136590.0,109.7077221,0.00080319
2022-04-22 16:00:00,Bitfinex,DOG/USD,136080.0,137560.0,133150.0,136320.0,110.6959296,0.00081203
2022-04-22 15:00:00,Bitfinex,DOG/USD,136920.0,137800.0,135410.0,135500.0,101.910905,0.00075211
