Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ETH
2022-12-27 00:00:00,Bitfinex,ETH/USD,1229.7,1234.9,1223.7,1225.7,340626.480541214,277.90363102
2022-12-26 23:00:00,Bitfinex,ETH/USD,1220.2,1232.3,1218.2,1229.2,513186.688507248,417.49649244
2022-12-26 22:00:00,Bitfinex,ETH/USD,1218.3,1220.3,1217.7,1219.9,31079.103842446,25.47676354
2022-12-26 21:00:00,Bitfinex,ETH/USD,1218.9,1220.9,1217.5,1218.3,27223.032004041,22.34509727
2022-12-26 20:00:00,Bitfinex,ETH/USD,1219.4,1219.9,1218.0,1219.1,11731.221091962,9.62285382
2022-12-26 19:00:00,Bitfinex,ETH/USD,1215.1,1221.8,1215.0,1219.1,179596.181185548,147.31866228
2022-12-26 18:00:00,Bitfinex,ETH/USD,1216.4,1217.1,1214.5,1215.2,36922.646995528,30.38400839
2022-12-26 17:00:00,Bitfinex,ETH/USD,1218.1,1218.1,1215.7,1216.6,761667.6338866979,626.06249703
2022-12-26 16:00:00,Bitfinex,ETH/USD,1217.2,1218.7,1216.6,1218.1,716603.14540698,588.2958258
2022-12-26 15:00:00,Bitfinex,ETH/USD,1218.2,1218.5,1216.7,1217.2,2416564.8943521203,1985.3474321
2022-12-26 14:00:00,Bitfinex,ETH/USD,1217.0,1218.9,1216.4,1218.3,1470121.3076982151,1206.69893105
2022-12-26 13:00:00,Bitfinex,ETH/USD,1220.7,1221.2,1213.1,1217.2,398747.599221764,327.59414987
2022-12-26 12:00:00,Bitfinex,ETH/USD,1221.3,1221.9,1220.5,1221.0,16988.58108222,13.91366182
2022-12-26 11:00:00,Bitfinex,ETH/USD,1220.2,1222.6,1220.1,1221.4,44720.48724283201,36.61412088
2022-12-26 10:00:00,Bitfinex,ETH/USD,1220.5,1224.2,1220.4,1220.8,60646.235269424,49.67745353
2022-12-26 09:00:00,Bitfinex,ETH/USD,1220.7,1222.0,1220.0,1220.7,24592.877129964003,20.14653652
2022-12-26 08:00:00,Bitfinex,ETH/USD,1222.0,1222.4,1219.7,1220.6,130330.37522207398,106.77566379
2022-12-26 07:00:00,Bitfinex,ETH/USD,1220.6,1222.7,1220.5,1222.4,31733.85048928,25.96028345
2022-12-26 06:00:00,Bitfinex,ETH/USD,1221.6,1222.1,1219.6,1220.6,17378.644264714,14.23778819
2022-12-26 05:00:00,Bitfinex,ETH/USD,1221.9,1223.6,1221.3,1221.6,51379.281167664,42.05900554
2022-12-26 04:00:00,Bitfinex,ETH/USD,1222.4,1224.4,1220.9,1221.8,20733.262854966,16.96944087
2022-12-26 03:00:00,Bitfinex,ETH/USD,1223.5,1224.1,1221.0,1222.2,40249.709662680005,32.9321794
2022-12-26 02:00:00,Bitfinex,ETH/USD,1223.1,1225.5,1221.3,1223.3,81275.178001082,66.43928554
2022-12-26 01:00:00,Bitfinex,ETH/USD,1220.0,1223.6,1219.1,1222.3,94146.998142488,77.02446056
2022-12-26 00:00:00,Bitfinex,ETH/USD,1220.0,1221.0,1218.1,1219.8,29918.066412384,24.52702608
2022-12-25 23:00:00,Bitfinex,ETH/USD,1218.8,1220.8,1217.1,1219.8,69597.579360654,57.05654973
2022-12-25 22:00:00,Bitfinex,ETH/USD,1219.9,1223.8,1217.4,1218.4,229356.478780608,188.24399112
2022-12-25 21:00:00,Bitfinex,ETH/USD,1208.0,1226.1,1207.4,1220.2,1092774.559537864,895.57003732
2022-12-25 20:00:00,Bitfinex,ETH/USD,1211.0,1211.0,1205.8,1208.0,72928.84746376,60.37156247
2022-12-25 19:00:00,Bitfinex,ETH/USD,1210.8,1211.0,1197.1,1211.0,1263269.49248829,1043.16225639
2022-12-25 18:00:00,Bitfinex,ETH/USD,1211.0,1212.2,1210.1,1210.7,60742.164523552,50.17111136
2022-12-25 17:00:00,Bitfinex,ETH/USD,1213.3,1214.0,1211.0,1211.0,26568.3949356,21.9392196
