Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_XRP
2022-12-24 04:00:00,Bitfinex,XRP/USD,0.35341,0.35427,0.35325,0.35378,77869.23711301404,220106.38564366
2022-12-24 03:00:00,Bitfinex,XRP/USD,0.35298,0.35379,0.35298,0.35341,45936.56349875496,129980.93856641
2022-12-24 02:00:00,Bitfinex,XRP/USD,0.35309,0.35387,0.35295,0.35295,78512.64004667081,222446.91895926
2022-12-24 01:00:00,Bitfinex,XRP/USD,0.3531,0.35404,0.35261,0.35291,87255.74092488845,247246.43938933
2022-12-24 00:00:00,Bitfinex,XRP/USD,0.35503,0.35503,0.35293,0.35303,90902.81502570475,257493.17345751
2022-12-23 23:00:00,Bitfinex,XRP/USD,0.3544,0.3555,0.354,0.35505,72427.85359921871,203993.39135113
2022-12-23 22:00:00,Bitfinex,XRP/USD,0.35381,0.35524,0.35373,0.35437,56048.03983346566,158162.48506777
2022-12-23 21:00:00,Bitfinex,XRP/USD,0.35141,0.35568,0.35108,0.35392,166133.23122373188,469408.99419002
2022-12-23 20:00:00,Bitfinex,XRP/USD,0.35314,0.35314,0.35127,0.35134,76279.41596810259,217109.96746201
2022-12-23 19:00:00,Bitfinex,XRP/USD,0.35237,0.35345,0.35205,0.35319,33393.86737060476,94549.30029334
2022-12-23 18:00:00,Bitfinex,XRP/USD,0.35188,0.35288,0.3515,0.35253,131421.19427941638,372794.35588295
2022-12-23 17:00:00,Bitfinex,XRP/USD,0.35074,0.35208,0.35054,0.35195,61111.51881320911,173636.93369288
2022-12-23 16:00:00,Bitfinex,XRP/USD,0.35051,0.35121,0.35022,0.35076,28267.55295143146,80589.44278547
2022-12-23 15:00:00,Bitfinex,XRP/USD,0.35001,0.35208,0.34962,0.35057,36627.92496597366,104481.05932046
2022-12-23 14:00:00,Bitfinex,XRP/USD,0.35265,0.3528,0.34999,0.35016,88232.2673098533,251977.00282686
2022-12-23 13:00:00,Bitfinex,XRP/USD,0.35198,0.35449,0.3494,0.35278,164523.36826810008,466362.51564176
2022-12-23 12:00:00,Bitfinex,XRP/USD,0.35161,0.35252,0.35124,0.35211,83009.66717698477,235749.24647691
2022-12-23 11:00:00,Bitfinex,XRP/USD,0.35249,0.35249,0.35025,0.35151,112848.95192792254,321040.51642321
2022-12-23 10:00:00,Bitfinex,XRP/USD,0.35041,0.35276,0.35041,0.35257,126382.34504956618,358460.29171389
2022-12-23 09:00:00,Bitfinex,XRP/USD,0.35024,0.35073,0.34861,0.3503,134672.33628016696,384448.5763065
2022-12-23 08:00:00,Bitfinex,XRP/USD,0.34966,0.35043,0.34808,0.35004,73213.60395106995,209157.82182342
2022-12-23 07:00:00,Bitfinex,XRP/USD,0.35053,0.35068,0.34907,0.34957,96295.71915146238,275469.05956307
2022-12-23 06:00:00,Bitfinex,XRP/USD,0.35079,0.35232,0.35001,0.35067,244211.53885758072,696414.11828095
2022-12-23 05:00:00,Bitfinex,XRP/USD,0.35061,0.35159,0.35035,0.35084,109935.215415645,313348.57888395
2022-12-23 04:00:00,Bitfinex,XRP/USD,0.35005,0.35079,0.34902,0.3505,94306.39655539782,269062.47234065
2022-12-23 03:00:00,Bitfinex,XRP/USD,0.3489,0.35086,0.34799,0.35004,222273.75473551627,634995.2997815
2022-12-23 02:00:00,Bitfinex,XRP/USD,0.34846,0.34916,0.3475,0.34887,61680.42228183519,176800.59128568
2022-12-23 01:00:00,Bitfinex,XRP/USD,0.34821,0.34872,0.34767,0.34832,50359.51858982231,144578.31473881
2022-12-23 00:00:00,Bitfinex,XRP/USD,0.34988,0.34988,0.34792,0.34797,128220.905904027,368482.6447798
2022-12-22 23:00:00,Bitfinex,XRP/USD,0.34919,0.35045,0.34899,0.34988,156242.89119915318,446561.36732352
2022-12-22 22:00:00,Bitfinex,XRP/USD,0.35004,0.35067,0.34856,0.34922,110526.5633046509,316495.5137296
2022-12-22 21:00:00,Bitfinex,XRP/USD,0.3487,0.35057,0.34855,0.35001,116427.0085207815,332639.09179961
2022-12-22 20:00:00,Bitfinex,XRP/USD,0.34486,0.34932,0.34486,0.3486,150499.16237690198,431724.50481039
2022-12-22 19:00:00,Bitfinex,XRP/USD,0.34355,0.34486,0.34338,0.34486,39261.51336166698,113847.68706625
2022-12-22 18:00:00,Bitfinex,XRP/USD,0.34231,0.34354,0.34231,0.34354,46044.842805583154,134030.51407575
2022-12-22 17:00:00,Bitfinex,XRP/USD,0.34416,0.34462,0.34225,0.34231,79615.61823355196,232583.38416509
2022-12-22 16:00:00,Bitfinex,XRP/USD,0.34292,0.34433,0.34261,0.34412,65822.07416695952,191276.51449192
2022-12-22 15:00:00,Bitfinex,XRP/USD,0.34319,0.34417,0.34167,0.34299,183877.1946617243,536100.74539119
2022-12-22 14:00:00,Bitfinex,XRP/USD,0.34518,0.3458,0.34298,0.34321,349654.7471062457,1018777.85351897
2022-12-22 13:00:00,Bitfinex,XRP/USD,0.34662,0.34677,0.34485,0.34524,54798.47430579476,158725.73950236
2022-12-22 12:00:00,Bitfinex,XRP/USD,0.34672,0.34727,0.34624,0.34652,110980.7375886188,320272.24283914
2022-12-22 11:00:00,Bitfinex,XRP/USD,0.34779,0.34796,0.34617,0.34665,96381.38591322246,278036.59573986
2022-12-22 10:00:00,Bitfinex,XRP/USD,0.34726,0.34828,0.34667,0.34792,139845.30799986364,401946.73488119
2022-12-22 09:00:00,Bitfinex,XRP/USD,0.34519,0.34755,0.34504,0.34721,233145.95723550828,671483.99307482
2022-12-22 08:00:00,Bitfinex,XRP/USD,0.34476,0.3452,0.34368,0.34517,91685.67325377648,265624.68712164
2022-12-22 07:00:00,Bitfinex,XRP/USD,0.34401,0.34572,0.3434,0.34471,139193.03738291192,403797.50335909
2022-12-22 06:00:00,Bitfinex,XRP/USD,0.34308,0.34403,0.34183,0.34391,393998.04974587134,1145642.90001998
2022-12-22 05:00:00,Bitfinex,XRP/USD,0.34401,0.34534,0.34309,0.34309,232615.0151481619,677999.98585841
2022-12-22 04:00:00,Bitfinex,XRP/USD,0.34357,0.34455,0.34356,0.3441,57114.25678088236,165981.56576833
2022-12-22 03:00:00,Bitfinex,XRP/USD,0.34394,0.3445,0.3431,0.34355,92030.33707205398,267880.4746676
2022-12-22 02:00:00,Bitfinex,XRP/USD,0.34299,0.34431,0.34193,0.34382,229510.42127124325,667530.7465279601
2022-12-22 01:00:00,Bitfinex,XRP/USD,0.34706,0.3474,0.34229,0.34309,124211.08526063184,362036.44892195
2022-12-22 00:00:00,Bitfinex,XRP/USD,0.34515,0.34754,0.34515,0.34704,72691.23219951884,209460.67369617
2022-12-21 23:00:00,Bitfinex,XRP/USD,0.34642,0.34692,0.34494,0.34533,68316.34852284836,197829.17361031
2022-12-21 22:00:00,Bitfinex,XRP/USD,0.34648,0.34775,0.34594,0.34638,146306.538541153,422387.37381244
2022-12-21 21:00:00,Bitfinex,XRP/USD,0.34448,0.34656,0.34446,0.3464,124116.01305963524,358302.57811673
2022-12-21 20:00:00,Bitfinex,XRP/USD,0.34362,0.34449,0.34289,0.34448,102916.93609234308,298760.26501493
2022-12-21 19:00:00,Bitfinex,XRP/USD,0.34287,0.34441,0.34287,0.3436,162994.07792062394,474371.58882603
2022-12-21 18:00:00,Bitfinex,XRP/USD,0.34166,0.34287,0.34143,0.34287,69152.61998773647,201687.57834671
2022-12-21 17:00:00,Bitfinex,XRP/USD,0.3426,0.34263,0.34152,0.3417,89764.2361126681,262698.96433324
2022-12-21 16:00:00,Bitfinex,XRP/USD,0.34406,0.34411,0.3426,0.3426,134742.56869089633,393294.12927874
2022-12-21 15:00:00,Bitfinex,XRP/USD,0.34295,0.34405,0.3421,0.34405,102386.6183688846,297592.26382469
2022-12-21 14:00:00,Bitfinex,XRP/USD,0.3434,0.34475,0.34232,0.34294,317486.2603893469,925777.863152
2022-12-21 13:00:00,Bitfinex,XRP/USD,0.34266,0.34387,0.34165,0.34337,247280.0300722113,720156.18741361
2022-12-21 12:00:00,Bitfinex,XRP/USD,0.34405,0.34419,0.34215,0.34256,177223.13289512464,517349.1735612
2022-12-21 11:00:00,Bitfinex,XRP/USD,0.34341,0.34437,0.3425,0.34403,111589.68422345712,324360.3296906
2022-12-21 10:00:00,Bitfinex,XRP/USD,0.34424,0.34509,0.34343,0.34345,111654.29085567148,325096.20281168
2022-12-21 09:00:00,Bitfinex,XRP/USD,0.34287,0.34522,0.34256,0.34424,144384.01500204473,419428.34941333
2022-12-21 08:00:00,Bitfinex,XRP/USD,0.34088,0.34353,0.33927,0.34288,284447.2268031245,829582.43934649
2022-12-21 07:00:00,Bitfinex,XRP/USD,0.34054,0.342,0.33972,0.34109,208856.49013412936,612320.76617353
2022-12-21 06:00:00,Bitfinex,XRP/USD,0.34362,0.34366,0.33984,0.34041,118286.32197661854,347481.92466913
2022-12-21 05:00:00,Bitfinex,XRP/USD,0.34111,0.34366,0.33913,0.34366,240800.1794169629,700693.06703417
2022-12-21 04:00:00,Bitfinex,XRP/USD,0.339,0.34172,0.33889,0.34121,266906.2510232296,782234.55063811
2022-12-21 03:00:00,Bitfinex,XRP/USD,0.34409,0.34429,0.33731,0.33909,504757.2173665206,1488564.14924215
2022-12-21 02:00:00,Bitfinex,XRP/USD,0.34624,0.34643,0.34377,0.34408,239047.71201310155,694744.57106807
2022-12-21 01:00:00,Bitfinex,XRP/USD,0.3487,0.34931,0.34621,0.34621,258948.0244729429,747950.73646903
2022-12-21 00:00:00,Bitfinex,XRP/USD,0.34843,0.35071,0.34803,0.34874,204082.09169239664,585198.40480701
2022-12-20 23:00:00,Bitfinex,XRP/USD,0.35313,0.35353,0.34835,0.34861,295525.54480208486,847725.3802303
2022-12-20 22:00:00,Bitfinex,XRP/USD,0.35128,0.35339,0.35077,0.35306,147115.26156533192,416686.29005079
2022-12-20 21:00:00,Bitfinex,XRP/USD,0.34926,0.35228,0.34926,0.35136,246731.68439826168,702219.0471262
2022-12-20 20:00:00,Bitfinex,XRP/USD,0.34941,0.351,0.34889,0.34941,179825.7471557245,514655.41099489
2022-12-20 19:00:00,Bitfinex,XRP/USD,0.34802,0.34992,0.34802,0.3496,167947.71638439762,480399.64640846
2022-12-20 18:00:00,Bitfinex,XRP/USD,0.34549,0.34801,0.34543,0.348,38764.6029801216,111392.5372992
2022-12-20 17:00:00,Bitfinex,XRP/USD,0.34681,0.34759,0.3453,0.3457,126096.5342344132,364757.11378193
2022-12-20 16:00:00,Bitfinex,XRP/USD,0.34718,0.34748,0.34546,0.34684,75982.22145601953,219069.94999429
2022-12-20 15:00:00,Bitfinex,XRP/USD,0.34644,0.34963,0.34515,0.34727,322842.8978142212,929659.62454062
2022-12-20 14:00:00,Bitfinex,XRP/USD,0.34419,0.34706,0.34291,0.34617,118903.97287263496,343484.33680745
2022-12-20 13:00:00,Bitfinex,XRP/USD,0.34411,0.34495,0.34364,0.3441,202969.1500556096,589855.12948448
2022-12-20 12:00:00,Bitfinex,XRP/USD,0.34387,0.34579,0.34283,0.34396,336674.3585557831,978818.34677225
2022-12-20 11:00:00,Bitfinex,XRP/USD,0.34473,0.34599,0.34324,0.34395,239486.59228284252,696283.15825801
2022-12-20 10:00:00,Bitfinex,XRP/USD,0.34557,0.3475,0.34472,0.34472,524474.6346666568,1521451.13328689
2022-12-20 09:00:00,Bitfinex,XRP/USD,0.3443,0.34583,0.34409,0.34554,101372.30340115503,293373.57006759
2022-12-20 08:00:00,Bitfinex,XRP/USD,0.34241,0.3447,0.34088,0.34415,151946.0872926799,441511.22270138
2022-12-20 07:00:00,Bitfinex,XRP/USD,0.34427,0.34427,0.34196,0.34226,114862.39890356048,335599.83317817
2022-12-20 06:00:00,Bitfinex,XRP/USD,0.34422,0.34557,0.34356,0.34436,505897.9069574252,1469096.0243856
2022-12-20 05:00:00,Bitfinex,XRP/USD,0.34333,0.34498,0.34271,0.3442,314345.9146081464,913265.29520089
2022-12-20 04:00:00,Bitfinex,XRP/USD,0.33909,0.34435,0.33871,0.34339,407750.9566772576,1187428.16237298
2022-12-20 03:00:00,Bitfinex,XRP/USD,0.33789,0.34004,0.33695,0.33904,478845.0545032327,1412355.63503785
2022-12-20 02:00:00,Bitfinex,XRP/USD,0.33925,0.34064,0.33671,0.33797,338162.21646772465,1000568.73825406
2022-12-20 01:00:00,Bitfinex,XRP/USD,0.33694,0.34329,0.33606,0.33927,819682.4445022639,2416018.05200066
2022-12-20 00:00:00,Bitfinex,XRP/USD,0.33922,0.34074,0.33687,0.33711,221879.2844307236,658180.66634251
2022-12-19 23:00:00,Bitfinex,XRP/USD,0.33869,0.34007,0.33722,0.33915,446539.2122423677,1316642.2298168
2022-12-19 22:00:00,Bitfinex,XRP/USD,0.34097,0.34126,0.33506,0.33869,910480.4545921208,2688241.3256728
2022-12-19 21:00:00,Bitfinex,XRP/USD,0.34025,0.34158,0.33926,0.341,261044.0427359385,765525.0520115499
2022-12-19 20:00:00,Bitfinex,XRP/USD,0.33754,0.34047,0.33745,0.34026,272280.84532093763,800214.08723017
2022-12-19 19:00:00,Bitfinex,XRP/USD,0.33293,0.33817,0.33281,0.33759,296277.4869949411,877625.18734246
2022-12-19 18:00:00,Bitfinex,XRP/USD,0.33763,0.3387,0.33206,0.33304,351040.072428323,1054047.77933078
2022-12-19 17:00:00,Bitfinex,XRP/USD,0.33887,0.33941,0.33378,0.33771,891540.1776347903,2639957.88586299
2022-12-19 16:00:00,Bitfinex,XRP/USD,0.34144,0.34208,0.33631,0.33899,689622.0381837954,2034343.30860437
2022-12-19 15:00:00,Bitfinex,XRP/USD,0.34249,0.34316,0.34133,0.34156,155540.34845229486,455382.21235594
2022-12-19 14:00:00,Bitfinex,XRP/USD,0.34047,0.34279,0.33852,0.34256,567090.3053651704,1655448.11234578
