iter	Passed	Remaining
0	29	29347
1	52	26158
2	74	24652
3	98	24532
4	115	23080
5	134	22353
6	168	23904
7	190	23659
8	208	22946
9	227	22495
10	243	21912
11	262	21587
12	279	21252
13	302	21286
14	320	21048
15	336	20719
16	356	20596
17	373	20393
18	391	20220
19	409	20085
20	426	19888
21	445	19807
22	463	19683
23	485	19731
24	505	19696
25	521	19547
26	539	19458
27	557	19356
28	576	19316
29	592	19168
30	609	19064
31	628	19000
32	645	18909
33	661	18783
34	680	18767
35	708	18968
36	729	18982
37	748	18960
38	770	18985
39	792	19013
40	810	18964
41	834	19026
42	852	18980
43	871	18938
44	887	18842
45	906	18807
46	923	18720
47	939	18628
48	974	18915
49	993	18874
50	1012	18838
51	1030	18795
52	1050	18769
53	1068	18718
54	1085	18655
55	1103	18595
56	1121	18557
57	1140	18525
58	1159	18485
59	1176	18433
60	1192	18364
61	1213	18359
62	1231	18314
63	1250	18286
64	1266	18213
65	1283	18162
66	1302	18144
67	1324	18152
68	1352	18246
69	1370	18206
70	1396	18273
71	1415	18238
72	1433	18202
73	1451	18166
74	1472	18162
75	1491	18138
76	1510	18100
77	1525	18033
78	1544	18007
79	1562	17965
80	1578	17913
81	1598	17896
82	1617	17864
83	1637	17860
84	1655	17818
85	1672	17771
86	1690	17740
87	1707	17692
88	1725	17666
89	1742	17617
90	1759	17571
91	1777	17543
92	1794	17499
93	1810	17450
94	1829	17427
95	1846	17389
96	1864	17353
97	1883	17334
98	1899	17290
99	1917	17260
100	1934	17220
101	1950	17176
102	1969	17151
103	1986	17115
104	2003	17080
105	2021	17051
106	2038	17010
107	2057	16989
108	2073	16951
109	2092	16928
110	2111	16908
111	2128	16876
112	2147	16857
113	2164	16822
114	2181	16789
115	2200	16767
116	2217	16734
117	2236	16714
118	2252	16679
119	2270	16648
120	2287	16620
121	2304	16584
122	2320	16547
123	2339	16524
124	2355	16490
125	2374	16469
126	2392	16443
127	2408	16411
128	2428	16394
129	2445	16364
130	2466	16359
131	2483	16328
132	2500	16300
133	2518	16274
134	2535	16244
135	2553	16220
136	2571	16199
137	2590	16179
138	2610	16170
139	2628	16147
140	2648	16133
141	2666	16111
142	2684	16090
143	2705	16080
144	2723	16059
145	2743	16045
146	2760	16021
147	2777	15991
148	2796	15974
149	2814	15951
150	2833	15933
151	2850	15903
152	2867	15876
153	2886	15857
154	2902	15825
155	2922	15809
156	2938	15778
157	2955	15749
158	2974	15732
159	2991	15705
160	3008	15678
161	3027	15659
162	3045	15636
163	3064	15622
164	3083	15602
165	3100	15574
166	3118	15554
167	3135	15529
168	3154	15513
169	3172	15491
170	3191	15471
171	3210	15453
172	3229	15439
173	3249	15427
174	3268	15409
175	3288	15397
176	3308	15382
177	3326	15361
178	3346	15351
179	3364	15326
180	3382	15304
181	3401	15286
182	3418	15261
183	3438	15246
184	3455	15220
185	3472	15196
186	3491	15178
187	3509	15156
188	3530	15147
189	3549	15131
190	3567	15108
191	3587	15095
192	3605	15074
193	3625	15063
194	3644	15045
195	3661	15020
196	3680	15001
197	3698	14979
198	3718	14969
199	3736	14945
200	3753	14919
201	3771	14901
202	3790	14882
203	3810	14869
204	3829	14850
205	3846	14825
206	3865	14809
207	3883	14786
208	3902	14771
209	3920	14750
210	3939	14729
211	3958	14713
212	3975	14690
213	3996	14678
214	4014	14658
215	4033	14638
216	4051	14618
217	4068	14595
218	4088	14580
219	4107	14562
220	4123	14535
221	4142	14518
222	4160	14496
223	4179	14477
224	4197	14456
225	4214	14433
226	4233	14416
227	4251	14395
228	4270	14376
229	4286	14350
230	4304	14329
231	4322	14310
232	4340	14287
233	4358	14269
234	4376	14247
235	4395	14228
236	4416	14217
237	4433	14195
238	4453	14180
239	4470	14156
240	4487	14132
241	4506	14116
242	4525	14096
243	4542	14073
244	4560	14052
245	4576	14027
246	4595	14010
247	4613	13989
248	4630	13966
249	4651	13953
250	4668	13930
251	4687	13914
252	4706	13895
253	4723	13872
254	4743	13857
255	4759	13831
256	4778	13814
257	4801	13810
258	4828	13813
259	4848	13799
260	4871	13791
261	4895	13788
262	4914	13772
263	4936	13762
264	4958	13753
265	4986	13760
266	5014	13765
267	5037	13759
268	5065	13764
269	5091	13765
270	5115	13760
271	5136	13748
272	5167	13762
273	5189	13751
274	5211	13740
275	5231	13723
276	5251	13706
277	5270	13688
278	5290	13670
279	5308	13650
280	5327	13630
281	5346	13611
282	5365	13594
283	5385	13576
284	5403	13557
285	5422	13537
286	5441	13518
287	5461	13501
288	5482	13488
289	5505	13478
290	5527	13467
291	5548	13454
292	5569	13440
293	5589	13422
294	5609	13405
295	5628	13387
296	5647	13367
297	5665	13346
298	5687	13334
299	5708	13318
300	5730	13307
301	5749	13287
302	5773	13280
303	5793	13264
304	5815	13251
305	5833	13230
306	5854	13215
307	5872	13195
308	5893	13179
309	5911	13158
310	5928	13135
311	5948	13117
312	5965	13093
313	5985	13076
314	6004	13057
315	6023	13038
316	6044	13022
317	6061	13000
318	6081	12982
319	6100	12963
320	6117	12941
321	6137	12922
322	6155	12900
323	6176	12887
324	6195	12867
325	6214	12848
326	6234	12830
327	6253	12812
328	6276	12801
329	6296	12784
330	6316	12767
331	6337	12752
332	6359	12737
333	6380	12722
334	6399	12703
335	6418	12684
336	6436	12662
337	6455	12642
338	6474	12623
339	6492	12602
340	6512	12584
341	6529	12562
342	6546	12539
343	6566	12521
344	6583	12499
345	6603	12481
346	6621	12459
347	6638	12436
348	6656	12417
349	6674	12395
350	6693	12376
351	6711	12356
352	6729	12334
353	6748	12314
354	6765	12292
355	6786	12276
356	6802	12252
357	6818	12227
358	6838	12209
359	6858	12192
360	6876	12172
361	6895	12152
362	6912	12130
363	6930	12109
364	6948	12087
365	6965	12065
366	6983	12045
367	7003	12027
368	7021	12007
369	7037	11983
370	7054	11960
371	7074	11942
372	7092	11921
373	7109	11900
374	7127	11879
375	7144	11856
376	7162	11836
377	7179	11814
378	7196	11791
379	7214	11771
380	7231	11749
381	7247	11725
382	7266	11706
383	7282	11682
384	7299	11660
385	7318	11640
386	7335	11618
387	7353	11598
388	7372	11580
389	7388	11557
390	7407	11537
391	7424	11515
392	7441	11494
393	7459	11473
394	7477	11452
395	7496	11433
396	7514	11412
397	7531	11391
398	7550	11373
399	7568	11352
400	7586	11333
401	7603	11311
402	7619	11287
403	7643	11275
404	7659	11253
405	7677	11232
406	7696	11214
407	7713	11192
408	7731	11172
409	7753	11157
410	7769	11135
411	7789	11116
412	7806	11095
413	7824	11075
414	7841	11054
415	7858	11032
416	7878	11014
417	7894	10992
418	7911	10970
419	7930	10952
420	7947	10930
421	7967	10912
422	7984	10890
423	8000	10869
424	8021	10852
425	8037	10830
426	8057	10812
427	8075	10792
428	8093	10772
429	8112	10753
430	8129	10732
431	8148	10713
432	8164	10690
433	8181	10669
434	8200	10651
435	8218	10631
436	8236	10610
437	8255	10592
438	8271	10570
439	8291	10552
440	8308	10532
441	8326	10511
442	8345	10493
443	8363	10473
444	8382	10455
445	8399	10433
446	8416	10412
447	8434	10392
448	8451	10371
449	8470	10352
450	8489	10334
451	8506	10313
452	8526	10296
453	8544	10276
454	8561	10255
455	8581	10237
456	8599	10218
457	8619	10200
458	8637	10180
459	8655	10161
460	8676	10144
461	8693	10123
462	8713	10106
463	8730	10085
464	8748	10065
465	8765	10045
466	8783	10024
467	8802	10005
468	8819	9985
469	8836	9964
470	8854	9945
471	8873	9925
472	8894	9909
473	8912	9889
474	8928	9868
475	8948	9850
476	8967	9831
477	8986	9813
478	9005	9794
479	9024	9776
480	9045	9760
481	9064	9741
482	9084	9724
483	9102	9704
484	9120	9684
485	9138	9665
486	9157	9646
487	9175	9627
488	9193	9607
489	9211	9587
490	9231	9570
491	9250	9551
492	9269	9533
493	9288	9514
494	9307	9495
495	9326	9477
496	9344	9457
497	9363	9439
498	9380	9417
499	9398	9398
500	9417	9379
501	9434	9358
502	9452	9340
503	9470	9320
504	9488	9300
505	9506	9280
506	9524	9261
507	9544	9244
508	9564	9225
509	9584	9208
510	9604	9191
511	9622	9171
512	9640	9152
513	9658	9132
514	9677	9114
515	9696	9094
516	9714	9075
517	9733	9057
518	9750	9036
519	9769	9018
520	9788	8999
521	9805	8979
522	9824	8960
523	9842	8940
524	9862	8922
525	9880	8903
526	9898	8884
527	9917	8866
528	9935	8845
529	9954	8827
530	9972	8807
531	9988	8787
532	10008	8769
533	10025	8748
534	10044	8730
535	10061	8710
536	10078	8689
537	10096	8670
538	10113	8649
539	10130	8629
540	10157	8618
541	10176	8599
542	10195	8581
543	10212	8560
544	10231	8542
545	10249	8522
546	10267	8503
547	10288	8485
548	10304	8465
549	10323	8446
550	10341	8426
551	10358	8406
552	10376	8387
553	10393	8367
554	10412	8348
555	10429	8328
556	10445	8307
557	10466	8290
558	10485	8271
559	10504	8253
560	10522	8234
561	10540	8214
562	10559	8196
563	10575	8175
564	10593	8155
565	10613	8137
566	10630	8118
567	10650	8100
568	10674	8085
569	10695	8068
570	10718	8052
571	10740	8036
572	10762	8020
573	10785	8004
574	10805	7986
575	10825	7968
576	10844	7950
577	10862	7930
578	10883	7913
579	10900	7893
580	10919	7875
581	10938	7856
582	10955	7836
583	10975	7817
584	10994	7799
585	11014	7781
586	11033	7763
587	11052	7744
588	11073	7726
589	11091	7707
590	11111	7689
591	11127	7668
592	11146	7650
593	11166	7632
594	11185	7613
595	11204	7594
596	11221	7575
597	11245	7559
598	11265	7541
599	11283	7522
600	11305	7505
601	11327	7489
602	11346	7470
603	11365	7451
604	11385	7433
605	11402	7413
606	11421	7394
607	11441	7376
608	11460	7358
609	11479	7339
610	11497	7319
611	11514	7299
612	11537	7283
613	11555	7264
614	11575	7246
615	11594	7227
616	11613	7209
617	11630	7189
618	11647	7169
619	11667	7150
620	11684	7131
621	11701	7111
622	11721	7093
623	11741	7074
624	11760	7056
625	11777	7036
626	11794	7016
627	11815	6998
628	11833	6979
629	11850	6959
630	11869	6941
631	11886	6921
632	11905	6902
633	11924	6883
634	11942	6864
635	11960	6845
636	11977	6825
637	11997	6807
638	12014	6787
639	12031	6767
640	12055	6751
641	12073	6732
642	12090	6712
643	12109	6694
644	12128	6675
645	12147	6656
646	12165	6637
647	12184	6618
648	12202	6599
649	12219	6579
650	12237	6560
651	12254	6540
652	12272	6521
653	12289	6502
654	12307	6482
655	12327	6464
656	12344	6444
657	12364	6426
658	12380	6406
659	12399	6387
660	12419	6369
661	12436	6349
662	12456	6331
663	12475	6313
664	12493	6293
665	12514	6275
666	12532	6256
667	12551	6238
668	12570	6219
669	12591	6201
670	12612	6184
671	12632	6165
672	12654	6148
673	12673	6129
674	12694	6112
675	12713	6093
676	12733	6075
677	12752	6056
678	12772	6038
679	12789	6018
680	12809	6000
681	12828	5981
682	12846	5962
683	12866	5944
684	12884	5924
685	12901	5905
686	12921	5886
687	12939	5867
688	12960	5849
689	12979	5831
690	12999	5813
691	13018	5794
692	13037	5775
693	13058	5757
694	13080	5740
695	13097	5720
696	13115	5701
697	13132	5681
698	13150	5662
699	13166	5642
700	13183	5623
701	13202	5604
702	13219	5584
703	13236	5565
704	13255	5546
705	13273	5527
706	13291	5508
707	13309	5489
708	13327	5470
709	13346	5451
710	13363	5432
711	13380	5412
712	13397	5392
713	13415	5373
714	13434	5354
715	13451	5335
716	13467	5315
717	13487	5297
718	13504	5277
719	13520	5258
720	13539	5239
721	13556	5219
722	13573	5200
723	13593	5181
724	13613	5163
725	13629	5144
726	13648	5125
727	13668	5106
728	13688	5088
729	13706	5069
730	13724	5050
731	13744	5032
732	13764	5013
733	13784	4995
734	13801	4975
735	13820	4957
736	13840	4939
737	13859	4920
738	13879	4901
739	13901	4884
740	13920	4865
741	13940	4847
742	13961	4829
743	13983	4811
744	14003	4793
745	14024	4775
746	14044	4756
747	14066	4738
748	14084	4719
749	14105	4701
750	14124	4683
751	14143	4664
752	14163	4646
753	14182	4627
754	14199	4607
755	14219	4589
756	14239	4570
757	14259	4552
758	14279	4534
759	14300	4515
760	14321	4497
761	14343	4479
762	14362	4461
763	14382	4442
764	14401	4423
765	14421	4405
766	14439	4386
767	14458	4367
768	14477	4349
769	14495	4329
770	14514	4311
771	14536	4293
772	14556	4274
773	14576	4256
774	14595	4237
775	14615	4218
776	14634	4200
777	14655	4181
778	14673	4162
779	14692	4143
780	14712	4125
781	14732	4107
782	14752	4088
783	14770	4069
784	14793	4051
785	14811	4032
786	14829	4013
787	14858	3997
788	14907	3986
789	14938	3971
790	14989	3960
791	15014	3943
792	15038	3925
793	15058	3906
794	15075	3887
795	15096	3869
796	15115	3850
797	15144	3833
798	15164	3814
799	15180	3795
800	15197	3775
801	15217	3756
802	15233	3737
803	15251	3718
804	15270	3699
805	15288	3679
806	15307	3661
807	15326	3641
808	15343	3622
809	15361	3603
810	15378	3583
811	15397	3564
812	15414	3545
813	15432	3526
814	15452	3507
815	15470	3488
816	15490	3469
817	15509	3450
818	15530	3432
819	15548	3413
820	15566	3393
821	15586	3375
822	15605	3356
823	15624	3337
824	15643	3318
825	15665	3299
826	15686	3281
827	15708	3263
828	15728	3244
829	15751	3226
830	15773	3207
831	15794	3189
832	15813	3170
833	15832	3151
834	15852	3132
835	15872	3113
836	15892	3094
837	15910	3075
838	15931	3057
