iter	Passed	Remaining
0	84	84172
1	103	51412
2	118	39341
3	135	33848
4	151	30146
5	168	27846
6	184	26168
7	200	24819
8	218	24013
9	234	23206
10	250	22556
11	268	22140
12	285	21659
13	301	21244
14	318	20910
15	335	20614
16	350	20263
17	367	20046
18	383	19782
19	399	19562
20	417	19447
21	432	19246
22	449	19076
23	466	18950
24	481	18795
25	498	18656
26	513	18515
27	529	18380
28	545	18265
29	561	18149
30	577	18038
31	594	17989
32	611	17924
33	627	17836
34	644	17775
35	659	17673
36	674	17566
37	691	17505
38	708	17453
39	724	17393
40	741	17332
41	756	17246
42	770	17158
43	788	17133
44	804	17075
45	820	17020
46	837	16973
47	853	16918
48	869	16867
49	885	16829
50	901	16766
51	916	16711
52	933	16677
53	949	16627
54	964	16578
55	981	16542
56	997	16498
57	1013	16459
58	1030	16427
59	1046	16389
60	1061	16335
61	1078	16309
62	1093	16263
63	1109	16229
64	1126	16201
65	1142	16168
66	1159	16145
67	1176	16130
68	1193	16106
69	1228	16315
70	1264	16547
71	1306	16844
72	1326	16844
73	1345	16839
74	1369	16885
75	1384	16833
76	1400	16786
77	1417	16753
78	1433	16707
79	1449	16673
80	1467	16648
81	1483	16605
82	1499	16561
83	1515	16523
84	1530	16472
85	1545	16430
86	1562	16401
87	1578	16359
88	1594	16319
89	1612	16300
90	1627	16258
91	1644	16228
92	1662	16213
93	1678	16181
94	1694	16137
95	1710	16108
96	1726	16071
97	1741	16032
98	1759	16014
99	1774	15971
100	1790	15938
101	1808	15924
102	1826	15905
103	1843	15886
104	1861	15869
105	1878	15841
106	1895	15818
107	1910	15782
108	1928	15768
109	1946	15749
110	1962	15717
111	1977	15680
112	1994	15652
113	2009	15615
114	2026	15593
115	2041	15555
116	2056	15521
117	2073	15500
118	2089	15469
119	2104	15432
120	2120	15403
121	2135	15368
122	2151	15339
123	2168	15317
124	2184	15290
125	2200	15264
126	2217	15242
127	2234	15223
128	2250	15192
129	2267	15171
130	2282	15140
131	2297	15110
132	2314	15090
133	2330	15063
134	2346	15032
135	2363	15016
136	2382	15008
137	2398	14980
138	2415	14965
139	2434	14954
140	2453	14949
141	2470	14925
142	2486	14898
143	2503	14881
144	2519	14855
145	2534	14827
146	2552	14813
147	2568	14787
148	2584	14761
149	2601	14740
150	2616	14713
151	2631	14683
152	2649	14665
153	2665	14644
154	2681	14619
155	2699	14604
156	2715	14581
157	2731	14554
158	2748	14539
159	2765	14519
160	2781	14496
161	2799	14482
162	2815	14456
163	2830	14430
164	2847	14411
165	2863	14384
166	2879	14362
167	2896	14342
168	2911	14318
169	2927	14293
170	2945	14280
171	2965	14277
172	2984	14269
173	3003	14255
174	3020	14240
175	3039	14230
176	3056	14213
177	3073	14194
178	3091	14177
179	3106	14151
180	3123	14134
181	3139	14109
182	3154	14084
183	3171	14065
184	3187	14043
185	3204	14023
186	3221	14005
187	3237	13981
188	3252	13955
189	3269	13937
190	3285	13915
191	3301	13892
192	3318	13875
193	3334	13854
194	3350	13830
195	3367	13814
196	3383	13791
197	3398	13764
198	3415	13747
199	3430	13721
200	3445	13698
201	3463	13681
202	3478	13657
203	3495	13639
204	3511	13619
205	3527	13594
206	3542	13572
207	3559	13554
208	3575	13531
209	3590	13506
210	3606	13487
211	3623	13466
212	3638	13444
213	3655	13425
214	3671	13406
215	3687	13382
216	3704	13367
217	3721	13347
218	3737	13327
219	3755	13314
220	3771	13293
221	3785	13267
222	3803	13253
223	3820	13233
224	3834	13209
225	3851	13191
226	3867	13168
227	3882	13145
228	3899	13127
229	3916	13111
230	3932	13090
231	3948	13072
232	3964	13048
233	3979	13028
234	3997	13013
235	4013	12994
236	4029	12973
237	4047	12958
238	4063	12937
239	4078	12915
240	4094	12896
241	4110	12874
242	4127	12857
243	4144	12841
244	4160	12821
245	4175	12798
246	4192	12781
247	4208	12759
248	4225	12743
249	4241	12725
250	4258	12706
251	4272	12681
252	4289	12666
253	4306	12647
254	4322	12627
255	4340	12615
256	4356	12595
257	4372	12575
258	4389	12557
259	4404	12535
260	4420	12516
261	4437	12498
262	4452	12476
263	4468	12456
264	4484	12439
265	4500	12417
266	4515	12397
267	4533	12382
268	4549	12362
269	4564	12341
270	4581	12324
271	4597	12303
272	4612	12282
273	4630	12268
274	4645	12247
275	4660	12225
276	4678	12211
277	4694	12193
278	4710	12171
279	4727	12155
280	4743	12136
