iter	RMSE
0	0.1611877547
1	0.1586036811
2	0.1563266962
3	0.1537565781
4	0.1520188084
5	0.1498067021
6	0.1483419334
7	0.1462970927
8	0.1441945016
9	0.1424696764
10	0.1408219748
11	0.1394641137
12	0.1377567781
13	0.1360671533
14	0.1349308736
15	0.1335923606
16	0.1324377691
17	0.1313621318
18	0.1304035437
19	0.1286005063
20	0.1272958486
21	0.1261180283
22	0.1248389805
23	0.1241437559
24	0.1231054861
25	0.1223399098
26	0.1212553042
27	0.1199833623
28	0.119383033
29	0.1185291292
30	0.1174106294
31	0.1162757612
32	0.1153270598
33	0.1145310627
34	0.1137471781
35	0.1129427075
36	0.1121875816
37	0.1116112725
38	0.1108079128
39	0.1098102768
40	0.1091454594
41	0.1083359655
42	0.1074288994
43	0.1067075034
44	0.10577941
45	0.1051903235
46	0.1047656697
47	0.1041604381
48	0.1031934665
49	0.1025971236
50	0.1021128703
51	0.1014478543
52	0.1009415653
53	0.100322581
54	0.09962313671
55	0.09910305269
56	0.09854443693
57	0.09768768163
58	0.09718437643
59	0.09630272283
60	0.09564165609
61	0.09499817609
62	0.09447162795
63	0.09385141421
64	0.09331211089
65	0.09267524759
66	0.09203656041
67	0.09132628454
68	0.09069837912
69	0.09032376624
70	0.08983665192
71	0.08931589702
72	0.0888006655
73	0.08819311162
74	0.08749470199
75	0.08712138373
76	0.08660198067
77	0.0861287574
78	0.08568100068
79	0.08496881235
80	0.08441480937
81	0.08390724532
82	0.08361863687
83	0.0831928547
84	0.08290871875
85	0.08251886165
86	0.08221081217
87	0.08175830963
88	0.08120588366
89	0.08044173142
90	0.07987346114
91	0.07940516624
92	0.07899472176
93	0.07847709131
94	0.07804426916
95	0.07764316248
96	0.0773097354
97	0.07681184121
98	0.07643356351
99	0.07617487778
100	0.07579991964
101	0.07534560236
102	0.07499292105
103	0.07466679037
104	0.0743322279
105	0.07394337812
106	0.07361693193
107	0.07319052666
108	0.0729384107
109	0.07266770315
110	0.07227058984
111	0.07204919008
112	0.07170358637
113	0.0715363353
114	0.07120457254
115	0.0709346378
116	0.07063162521
117	0.07007801686
118	0.06968237015
119	0.06931547452
120	0.06904058509
121	0.06870643122
122	0.0683695219
123	0.06806876692
124	0.06763782378
125	0.06726110399
126	0.06702886007
127	0.0667139188
128	0.06644041456
129	0.06615398477
130	0.0658669101
131	0.06552139607
132	0.06521586043
133	0.06490525291
134	0.06457229686
135	0.06431005295
136	0.06388591822
137	0.06349601448
138	0.06316509316
139	0.06282564015
140	0.06248148512
141	0.06222032092
142	0.06194718167
143	0.06168376757
144	0.06141854157
145	0.06120135246
146	0.06091312911
147	0.060600051
148	0.06031636881
149	0.06003067344
150	0.05976965384
151	0.05955568456
152	0.05925382359
153	0.05898060075
154	0.05861040999
155	0.05834421931
156	0.05815299105
157	0.05782429452
158	0.05754459161
159	0.05717093062
160	0.05687415535
161	0.05652520408
162	0.05618616523
163	0.05600709014
164	0.0557124655
165	0.05556467451
166	0.05533428193
167	0.05512561114
168	0.05492055087
169	0.05461666653
170	0.05442732173
171	0.05410454533
172	0.05385887548
173	0.05364066917
174	0.05341362817
175	0.05319958042
176	0.0528801672
177	0.05266179525
178	0.05242986173
179	0.05211630766
180	0.05189602178
181	0.05160956824
182	0.05138201172
183	0.05117317951
184	0.05086080425
185	0.05066149385
186	0.05040362406
187	0.05017260527
188	0.04994475086
189	0.04970577408
190	0.04948292235
191	0.04921461117
192	0.048898639
193	0.04870983828
194	0.04851992367
195	0.04837612353
196	0.04819403397
197	0.04805741327
198	0.04775715014
199	0.0476021219
200	0.04738727011
201	0.0472014964
202	0.04698798265
203	0.04662348937
204	0.04647847673
205	0.04630897764
206	0.04610680797
207	0.04593686007
208	0.04567719791
209	0.04549059192
210	0.04538175304
211	0.04522446457
212	0.04504265801
213	0.04495635472
214	0.04478661473
215	0.04462999929
216	0.04447990651
217	0.04434285228
218	0.0441967492
219	0.04396628818
220	0.04374276181
221	0.04358959008
222	0.04343659791
223	0.04322591773
224	0.04306588226
225	0.04287945176
226	0.04273420191
227	0.04261528438
228	0.04246702304
229	0.04222637024
230	0.04206691153
231	0.04183510284
232	0.04169380331
233	0.0414596162
234	0.04122676699
235	0.04110392855
236	0.04096152724
237	0.04083238429
238	0.04068384778
239	0.04057068669
240	0.04042493511
241	0.04024471596
242	0.0400104451
243	0.03990816808
244	0.03977471568
245	0.03965718596
246	0.03954410167
247	0.03942807535
248	0.03921870553
249	0.03905977572
250	0.03894031005
251	0.03885950802
252	0.03867583818
253	0.03858600379
254	0.03847204276
255	0.03830377159
256	0.0381945378
257	0.03809357557
258	0.03798153675
259	0.03789050058
260	0.03771622339
261	0.03755423157
262	0.03748585841
263	0.0373699935
264	0.03728281419
265	0.03718441153
266	0.03708221555
267	0.03699582327
268	0.03685429176
269	0.03673449497
270	0.03661781281
271	0.03651295246
272	0.03644475984
273	0.03624018569
274	0.03612650269
